Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,69.800003,74.500000,69.500000,74.209999,73.362762,4990000
2017-10-02,75.849998,78.070000,74.430000,77.879997,76.990852,3193500
2017-10-03,78.660004,80.430000,76.000000,78.989998,78.088181,2518700
2017-10-04,78.480003,79.500000,77.489998,79.500000,78.592361,1515000
2017-10-05,79.500000,80.000000,77.220001,78.400002,77.504921,2134800
2017-10-06,77.989998,79.970001,76.620003,79.699997,78.790070,1574300
2017-10-09,80.500000,80.699997,77.040001,77.790001,76.901886,1213900
2017-10-10,78.349998,79.699997,77.400002,79.620003,78.710999,916400
2017-10-11,79.199997,80.000000,77.000000,77.000000,76.120903,1397300
2017-10-12,77.000000,77.000000,77.000000,77.000000,76.120903,0
2017-10-13,69.199997,73.150002,68.800003,72.699997,71.869995,5301100
2017-10-16,73.199997,74.750000,68.930000,69.300003,68.508812,3199500
2017-10-17,70.019997,71.120003,60.320000,63.799999,63.071609,5743000
2017-10-18,65.650002,70.720001,64.809998,70.720001,69.912605,5110000
2017-10-19,71.000000,72.470001,67.320000,69.989998,69.190941,2116400
2017-10-20,71.000000,72.500000,70.080002,72.449997,71.622849,2027800
2017-10-23,72.500000,73.500000,68.699997,69.199997,68.409950,1745700
2017-10-24,70.180000,70.870003,66.589996,68.800003,68.014526,2133300
2017-10-25,69.300003,69.750000,67.309998,68.820000,68.034294,1108500
2017-10-26,69.050003,69.419998,64.589996,65.680000,64.930145,2028900
2017-10-27,65.889999,68.459999,63.160000,64.000000,63.269321,2242700
2017-10-30,64.150002,64.300003,60.980000,63.250000,62.527885,1947100
2017-10-31,64.000000,64.800003,61.810001,63.750000,63.022175,1562300
2017-11-01,69.000000,69.500000,66.629997,66.989998,66.225182,3258100
2017-11-02,66.989998,66.989998,66.989998,66.989998,66.225182,0
2017-11-03,67.000000,67.489998,60.599998,61.529999,60.827522,3714200
2017-11-06,62.470001,62.700001,57.000000,57.000000,56.349239,3471200
2017-11-07,55.650002,55.650002,51.000000,51.570000,50.981232,5987000
2017-11-08,52.000000,55.189999,51.900002,55.119999,54.490707,3285500
